Datum,Original_Datum,Tagesmitteltemperatur_Jena,Positive_Elemente,Negative_Elemente
1823-01-01,1.1.1823,-18.2,,
1823-01-02,2.1.1823,-16.3,,
1823-01-03,3.1.1823,-18.0,,
1823-01-04,4.1.1823,-16.6,dank,trauerspiel
1823-01-05,5.1.1823,-16.8,,
1823-01-06,6.1.1823,-16.7,,
1823-01-07,7.1.1823,-15.7,,
1823-01-08,8.1.1823,-16.4,,unglücksfälle
1823-01-09,9.1.1823,-17.9,,
1823-01-10,10.1.1823,-19.3,,
1823-01-11,11.1.1823,-16.7,,
1823-01-12,12.1.1823,-12.2,,
1823-01-13,13.1.1823,-9.1,,
1823-01-14,14.1.1823,-8.8,wohl,
1823-01-15,15.1.1823,-8.7,,
1823-01-16,16.1.1823,-4.1,,
1823-01-17,17.1.1823,-6.0,,
1823-01-18,18.1.1823,-4.5,,
1823-01-19,19.1.1823,-3.3,,krankenhaus
1823-01-20,20.1.1823,-4.7,,
1823-01-21,21.1.1823,-11.5,,
1823-01-22,22.1.1823,-20.0,,
1823-01-23,23.1.1823,-21.0,,
1823-01-24,24.1.1823,-22.4,,
1823-01-25,25.1.1823,-20.6,,
1823-01-26,26.1.1823,-14.0,,
1823-01-27,27.1.1823,-7.0,,
1823-01-28,28.1.1823,3.9,,
1823-01-29,29.1.1823,4.0,danken,
1823-01-30,30.1.1823,6.5,,
1823-01-31,31.1.1823,2.4,,
1823-02-01,1.2.1823,2.4,,
1823-02-02,2.2.1823,2.9,,
1823-02-03,3.2.1823,0.5,,
1823-02-04,4.2.1823,0.5,,
1823-02-05,5.2.1823,0.3,,
1823-02-06,6.2.1823,-2.0,,
1823-02-07,7.2.1823,-6.7,,
1823-02-08,8.2.1823,-2.7,,
1823-02-09,9.2.1823,0.1,,
1823-02-10,10.2.1823,4.2,,
1823-02-11,11.2.1823,4.6,,
1823-02-12,12.2.1823,7.3,gut,
1823-02-13,13.2.1823,5.0,erholung,unruhiger
1823-02-14,14.2.1823,1.6,besserung,
1823-02-15,15.2.1823,1.2,,
1823-02-16,16.2.1823,-1.7,glückwunsch,
1823-02-17,17.2.1823,-0.4,,
1823-02-18,18.2.1823,-0.1,,"schmerz, leider, unruhig"
